model,dataset,run,problem_attempt,successful_problem
dsp,test,1,1,mathd_algebra_24
dsp,test,1,1,mathd_numbertheory_229
dsp,test,1,1,amc12a_2021_3
dsp,test,1,1,mathd_algebra_441
dsp,test,1,1,mathd_algebra_412
dsp,test,1,1,mathd_numbertheory_222
dsp,test,1,1,mathd_algebra_359
dsp,test,1,1,mathd_algebra_44
dsp,test,1,1,mathd_numbertheory_185
dsp,test,1,1,mathd_algebra_107
dsp,test,1,1,mathd_algebra_388
dsp,test,1,1,mathd_algebra_263
dsp,test,1,1,mathd_algebra_113
dsp,test,1,1,mathd_algebra_171
dsp,test,1,1,mathd_algebra_329
dsp,test,1,1,mathd_algebra_419
dsp,test,1,1,mathd_algebra_513
dsp,test,1,1,mathd_algebra_346
dsp,test,1,1,mathd_algebra_302
dsp,test,1,1,mathd_algebra_432
dsp,test,1,1,mathd_numbertheory_483
dsp,test,1,1,mathd_algebra_160
dsp,test,1,1,mathd_algebra_427
dsp,test,1,1,mathd_algebra_354
dsp,test,1,1,mathd_numbertheory_100
dsp,test,1,2,amc12b_2002_2
dsp,test,1,2,mathd_numbertheory_85
dsp,test,1,2,mathd_algebra_338
dsp,test,1,2,mathd_algebra_176
dsp,test,1,2,aime1983_2
dsp,test,1,2,mathd_algebra_398
dsp,test,1,2,mathd_algebra_76
dsp,test,1,2,mathd_numbertheory_342
dsp,test,1,2,mathd_algebra_142
dsp,test,1,2,mathd_algebra_270
dsp,test,1,2,mathd_algebra_188
dsp,test,1,2,mathd_algebra_246
dsp,test,1,3,mathd_numbertheory_517
dsp,test,1,3,mathd_algebra_33
dsp,test,1,3,mathd_algebra_125
dsp,test,1,3,mathd_algebra_209
dsp,test,1,3,algebra_2varlineareq_fp3zeq11_3tfm1m5zeqn68_feqn10_zeq7
dsp,test,1,3,mathd_numbertheory_551
dsp,test,1,3,mathd_algebra_143
dsp,test,1,3,mathd_algebra_440
dsp,test,1,4,algebra_sqineq_unitcircatbpamblt1
dsp,test,1,4,mathd_algebra_139
dsp,test,1,4,mathd_numbertheory_235
dsp,test,1,4,mathd_algebra_137
dsp,test,1,4,mathd_numbertheory_239
dsp,test,1,4,amc12b_2020_6
dsp,test,1,4,mathd_algebra_478
dsp,test,1,5,algebra_sqineq_at2malt1
dsp,test,1,5,mathd_algebra_148
dsp,test,1,5,mathd_numbertheory_343
dsp,test,1,6,algebra_sqineq_unitcircatbpabsamblt1
dsp,test,1,7,mathd_numbertheory_247
dsp,test,1,7,amc12a_2009_6
dsp,test,1,7,mathd_numbertheory_769
dsp,test,1,7,mathd_numbertheory_66
dsp,test,1,8,mathd_numbertheory_175
dsp,test,1,9,mathd_algebra_129
dsp,test,1,10,mathd_numbertheory_207
dsp,test,1,11,amc12a_2013_4
dsp,test,1,11,mathd_numbertheory_353
dsp,test,1,12,mathd_numbertheory_345
dsp,test,1,12,mathd_numbertheory_430
dsp,test,1,15,mathd_algebra_114
dsp,test,1,16,mathd_numbertheory_299
dsp,test,1,16,mathd_numbertheory_127
dsp,test,1,17,amc12a_2002_6
dsp,test,1,17,mathd_numbertheory_254
dsp,test,1,19,numbertheory_aoddbdiv4asqpbsqmod8eq1
dsp,test,1,20,aime1990_15
dsp,test,1,21,mathd_algebra_156
dsp,test,1,26,amc12b_2021_3
dsp,test,1,28,mathd_numbertheory_3
dsp,test,1,33,algebra_absxm1pabsxpabsxp1eqxp2_0leqxleq1
dsp,test,1,35,mathd_numbertheory_328
dsp,test,1,38,mathd_numbertheory_321
dsp,test,1,42,mathd_algebra_141
dsp,test,1,46,amc12_2000_6
dsp,test,1,57,mathd_numbertheory_582
dsp,test,1,63,mathd_numbertheory_212
dsp,test,1,67,mathd_numbertheory_99
dsp,test,1,71,mathd_algebra_313
dsp,test,1,84,mathd_numbertheory_559
dsp,test,1,86,mathd_numbertheory_237
dsp,test,1,90,amc12b_2002_19
dsp,test,2,1,mathd_numbertheory_247
dsp,test,2,1,mathd_algebra_24
dsp,test,2,1,amc12a_2021_3
dsp,test,2,1,mathd_algebra_176
dsp,test,2,1,mathd_algebra_441
dsp,test,2,1,mathd_algebra_412
dsp,test,2,1,mathd_algebra_359
dsp,test,2,1,mathd_algebra_44
dsp,test,2,1,mathd_algebra_76
dsp,test,2,1,aime1990_15
dsp,test,2,1,mathd_numbertheory_185
dsp,test,2,1,mathd_algebra_388
dsp,test,2,1,mathd_algebra_263
dsp,test,2,1,mathd_algebra_129
dsp,test,2,1,mathd_algebra_139
dsp,test,2,1,mathd_algebra_113
dsp,test,2,1,mathd_algebra_171
dsp,test,2,1,mathd_algebra_419
dsp,test,2,1,mathd_algebra_513
dsp,test,2,1,mathd_algebra_346
dsp,test,2,1,mathd_algebra_302
dsp,test,2,1,mathd_algebra_432
dsp,test,2,1,mathd_algebra_143
dsp,test,2,1,mathd_numbertheory_483
dsp,test,2,1,mathd_algebra_160
dsp,test,2,1,mathd_algebra_354
dsp,test,2,1,mathd_numbertheory_100
dsp,test,2,2,mathd_numbertheory_85
dsp,test,2,2,mathd_numbertheory_229
dsp,test,2,2,mathd_algebra_338
dsp,test,2,2,aime1983_2
dsp,test,2,2,mathd_algebra_398
dsp,test,2,2,mathd_numbertheory_328
dsp,test,2,2,mathd_numbertheory_342
dsp,test,2,2,mathd_algebra_107
dsp,test,2,2,mathd_algebra_329
dsp,test,2,2,mathd_algebra_142
dsp,test,2,2,mathd_algebra_270
dsp,test,2,2,mathd_algebra_188
dsp,test,2,2,mathd_algebra_427
dsp,test,2,2,mathd_algebra_246
dsp,test,2,3,mathd_numbertheory_517
dsp,test,2,3,mathd_algebra_33
dsp,test,2,3,mathd_algebra_125
dsp,test,2,3,mathd_algebra_137
dsp,test,2,3,mathd_algebra_209
dsp,test,2,3,amc12b_2021_3
dsp,test,2,3,algebra_2varlineareq_fp3zeq11_3tfm1m5zeqn68_feqn10_zeq7
dsp,test,2,3,mathd_numbertheory_551
dsp,test,2,3,amc12b_2020_6
dsp,test,2,4,amc12a_2002_6
dsp,test,2,4,algebra_sqineq_unitcircatbpamblt1
dsp,test,2,4,mathd_numbertheory_235
dsp,test,2,4,mathd_numbertheory_239
dsp,test,2,4,mathd_algebra_478
dsp,test,2,4,mathd_algebra_440
dsp,test,2,5,amc12b_2002_2
dsp,test,2,5,mathd_numbertheory_254
dsp,test,2,5,mathd_numbertheory_343
dsp,test,2,5,mathd_numbertheory_430
dsp,test,2,6,mathd_algebra_148
dsp,test,2,7,mathd_numbertheory_769
dsp,test,2,7,mathd_numbertheory_66
dsp,test,2,8,mathd_numbertheory_175
dsp,test,2,9,mathd_numbertheory_222
dsp,test,2,10,algebra_sqineq_at2malt1
dsp,test,2,10,mathd_numbertheory_207
dsp,test,2,11,algebra_sqineq_unitcircatbpabsamblt1
dsp,test,2,11,amc12a_2013_4
dsp,test,2,12,numbertheory_aoddbdiv4asqpbsqmod8eq1
dsp,test,2,13,mathd_numbertheory_345
dsp,test,2,16,mathd_numbertheory_299
dsp,test,2,16,mathd_numbertheory_127
dsp,test,2,20,imo_1959_1
dsp,test,2,25,mathd_algebra_156
dsp,test,2,28,mathd_algebra_114
dsp,test,2,28,mathd_numbertheory_3
dsp,test,2,29,mathd_numbertheory_582
dsp,test,2,42,mathd_algebra_141
dsp,test,2,45,amc12a_2009_6
dsp,test,2,54,algebra_apbon2pownleqapownpbpowon2
dsp,test,2,63,mathd_numbertheory_212
dsp,test,2,67,mathd_numbertheory_99
dsp,test,2,86,algebra_absxm1pabsxpabsxp1eqxp2_0leqxleq1
dsp,test,2,86,mathd_numbertheory_237
dsp,test,3,1,mathd_numbertheory_247
