model,dataset,run,problem_attempt,successful_problem
lp,test24,1,1,mathd_algebra_388
lp,test24,1,1,mathd_algebra_44
lp,test24,1,1,mathd_algebra_246
lp,test24,1,3,mathd_numbertheory_222
lp,test24,1,22,mathd_numbertheory_435
lp,test24,1,27,mathd_numbertheory_207
lp,test24,2,1,mathd_numbertheory_222
lp,test24,2,1,mathd_algebra_388
lp,test24,2,1,mathd_algebra_44
lp,test24,2,2,mathd_algebra_246
lp,test24,2,9,mathd_numbertheory_435
lp,test24,2,12,amc12b_2020_p22
lp,test24,2,15,mathd_algebra_137
lp,test24,2,23,amc12a_2002_p13
lp,test24,3,1,mathd_algebra_44
lp,test24,3,1,mathd_algebra_246
lp,test24,3,2,mathd_algebra_388
lp,test24,3,8,mathd_numbertheory_222
lp,test24,3,35,amc12b_2020_p22
lp,test24,3,40,mathd_algebra_137
dsp,test24,1,1,mathd_numbertheory_222
dsp,test24,1,1,mathd_algebra_388
dsp,test24,1,3,mathd_algebra_44
dsp,test24,1,6,mathd_algebra_246
dsp,test24,1,27,mathd_algebra_137
dsp,test24,2,1,mathd_algebra_44
dsp,test24,2,5,mathd_numbertheory_222
dsp,test24,2,9,mathd_algebra_388
dsp,test24,2,16,mathd_algebra_137
dsp,test24,2,42,mathd_algebra_246
dsp,test24,3,1,mathd_numbertheory_222
dsp,test24,3,3,mathd_algebra_44
dsp,test24,3,4,mathd_algebra_388
dsp,test24,3,12,mathd_algebra_246
