model,dataset,run,problem_attempt,successful_problem
dsp,test24,1,1,mathd_numbertheory_222
dsp,test24,1,1,mathd_algebra_388
dsp,test24,1,3,mathd_algebra_44
dsp,test24,1,6,mathd_algebra_246
dsp,test24,1,27,mathd_algebra_137
dsp,test24,2,1,mathd_algebra_44
dsp,test24,2,5,mathd_numbertheory_222
dsp,test24,2,9,mathd_algebra_388
dsp,test24,2,16,mathd_algebra_137
dsp,test24,2,42,mathd_algebra_246
dsp,test24,3,1,mathd_numbertheory_222
dsp,test24,3,3,mathd_algebra_44
dsp,test24,3,4,mathd_algebra_388
dsp,test24,3,12,mathd_algebra_246
dsp,test24,3,57,mathd_algebra_137
dsp,test24,3,78,amc12b_2020_22
