model,dataset,run,problem_attempt,successful_problem
dsp,test49,1,1,mathd_algebra_398
dsp,test49,1,1,mathd_algebra_113
dsp,test49,1,1,mathd_algebra_188
dsp,test49,1,1,mathd_algebra_432
dsp,test49,1,1,algebra_sqineq_unitcircatbpabsamblt1
dsp,test49,1,1,mathd_algebra_156
dsp,test49,1,1,mathd_algebra_427
dsp,test49,1,1,mathd_algebra_354
dsp,test49,1,1,algebra_2varlineareq_fp3zeq11_3tfm1m5zeqn68_feqn10_zeq7
dsp,test49,1,2,aime1983_2
dsp,test49,1,22,mathd_numbertheory_99
dsp,test49,2,1,mathd_algebra_398
dsp,test49,2,1,mathd_algebra_113
dsp,test49,2,1,mathd_algebra_188
dsp,test49,2,1,mathd_algebra_432
dsp,test49,2,1,algebra_sqineq_unitcircatbpabsamblt1
dsp,test49,2,1,mathd_algebra_156
dsp,test49,2,1,mathd_algebra_427
dsp,test49,2,1,mathd_algebra_354
dsp,test49,2,1,algebra_2varlineareq_fp3zeq11_3tfm1m5zeqn68_feqn10_zeq7
dsp,test49,2,2,aime1983_2
dsp,test49,2,16,mathd_numbertheory_551
dsp,test49,3,1,mathd_algebra_398
dsp,test49,3,1,mathd_algebra_113
dsp,test49,3,1,mathd_algebra_188
dsp,test49,3,1,mathd_algebra_432
dsp,test49,3,1,algebra_sqineq_unitcircatbpabsamblt1
dsp,test49,3,1,mathd_algebra_156
dsp,test49,3,1,mathd_algebra_427
dsp,test49,3,1,mathd_algebra_354
dsp,test49,3,1,algebra_2varlineareq_fp3zeq11_3tfm1m5zeqn68_feqn10_zeq7
dsp,test49,3,2,aime1983_2
dsp,test49,3,16,mathd_numbertheory_551
dsp,test49,3,22,mathd_numbertheory_99
lp,test49,1,1,mathd_algebra_432
lp,test49,1,1,mathd_algebra_427
lp,test49,1,1,algebra_sqineq_unitcircatbpabsamblt1
lp,test49,1,1,mathd_algebra_156
lp,test49,1,1,mathd_algebra_354
lp,test49,1,1,induction_1pxpownlt1pnx
lp,test49,1,2,mathd_algebra_398
lp,test49,1,2,mathd_algebra_188
lp,test49,1,2,algebra_2varlineareq_fp3zeq11_3tfm1m5zeqn68_feqn10_zeq7
lp,test49,1,2,aime_1983_p2
lp,test49,1,5,mathd_algebra_113
lp,test49,1,11,aime_1989_p8
lp,test49,1,49,mathd_numbertheory_3
lp,test49,2,1,mathd_algebra_432
lp,test49,2,1,aime_1983_p2
lp,test49,2,1,mathd_algebra_354
lp,test49,2,1,mathd_algebra_156
lp,test49,2,1,mathd_algebra_113
lp,test49,2,2,mathd_algebra_427
lp,test49,2,2,mathd_algebra_188
lp,test49,2,2,algebra_2varlineareq_fp3zeq11_3tfm1m5zeqn68_feqn10_zeq7
lp,test49,2,3,algebra_sqineq_unitcircatbpabsamblt1
lp,test49,2,4,mathd_algebra_398
lp,test49,2,5,induction_1pxpownlt1pnx
lp,test49,2,8,imo_1959_p1
lp,test49,2,19,mathd_numbertheory_66
lp,test49,2,23,aime_1989_p8
lp,test49,2,24,mathd_numbertheory_551
lp,test49,2,43,mathd_numbertheory_345
lp,test49,3,1,mathd_algebra_427
lp,test49,3,1,mathd_algebra_398
lp,test49,3,1,aime_1983_p2
lp,test49,3,1,mathd_algebra_354
lp,test49,3,2,mathd_algebra_432
lp,test49,3,2,mathd_algebra_113
lp,test49,3,3,mathd_algebra_156
lp,test49,3,3,algebra_sqineq_unitcircatbpabsamblt1
lp,test49,3,5,algebra_2varlineareq_fp3zeq11_3tfm1m5zeqn68_feqn10_zeq7
lp,test49,3,7,mathd_algebra_188
lp,test49,3,8,induction_1pxpownlt1pnx
lp,test49,3,9,mathd_numbertheory_345
lp,test49,3,28,imo_1959_p1
lp,test49,3,47,mathd_numbertheory_3
