model,dataset,run,problem_attempt,successful_problem
dsp,test49,1,1,mathd_algebra_398
dsp,test49,1,1,mathd_algebra_113
dsp,test49,1,1,mathd_algebra_188
dsp,test49,1,1,mathd_algebra_432
dsp,test49,1,1,algebra_sqineq_unitcircatbpabsamblt1
dsp,test49,1,1,mathd_algebra_156
dsp,test49,1,1,mathd_algebra_427
dsp,test49,1,1,mathd_algebra_354
dsp,test49,1,1,algebra_2varlineareq_fp3zeq11_3tfm1m5zeqn68_feqn10_zeq7
dsp,test49,1,2,aime1983_2
dsp,test49,1,22,mathd_numbertheory_99
dsp,test49,1,184,mathd_numbertheory_254
dsp,test49,2,1,mathd_algebra_398
dsp,test49,2,1,mathd_algebra_113
dsp,test49,2,1,mathd_algebra_188
dsp,test49,2,1,mathd_algebra_432
dsp,test49,2,1,algebra_sqineq_unitcircatbpabsamblt1
dsp,test49,2,1,mathd_algebra_156
dsp,test49,2,1,mathd_algebra_427
dsp,test49,2,1,mathd_algebra_354
dsp,test49,2,1,algebra_2varlineareq_fp3zeq11_3tfm1m5zeqn68_feqn10_zeq7
dsp,test49,2,2,aime1983_2
dsp,test49,2,16,mathd_numbertheory_551
dsp,test49,2,65,mathd_algebra_129
dsp,test49,2,97,mathd_numbertheory_99
dsp,test49,2,184,mathd_numbertheory_254
dsp,test49,3,1,mathd_algebra_398
dsp,test49,3,1,mathd_algebra_113
dsp,test49,3,1,mathd_algebra_188
dsp,test49,3,1,mathd_algebra_432
dsp,test49,3,1,algebra_sqineq_unitcircatbpabsamblt1
dsp,test49,3,1,mathd_algebra_156
dsp,test49,3,1,mathd_algebra_427
dsp,test49,3,1,mathd_algebra_354
dsp,test49,3,1,algebra_2varlineareq_fp3zeq11_3tfm1m5zeqn68_feqn10_zeq7
dsp,test49,3,2,aime1983_2
dsp,test49,3,16,mathd_numbertheory_551
dsp,test49,3,22,mathd_numbertheory_99
dsp,test49,3,229,amc12a_2021_9
