model,dataset,run,problem_attempt,successful_problem
lp,test24,1,2,mathd_algebra_137
lp,test24,1,2,mathd_algebra_44
lp,test24,1,3,mathd_algebra_246
lp,test24,1,8,mathd_algebra_400
lp,test24,1,9,mathd_algebra_388
lp,test24,1,26,mathd_numbertheory_222
lp,test24,2,3,mathd_algebra_44
lp,test24,2,8,mathd_algebra_137
lp,test24,2,9,mathd_algebra_246
lp,test24,2,9,mathd_algebra_388
lp,test24,2,15,mathd_numbertheory_222
lp,test24,2,46,mathd_numbertheory_207
lp,test24,3,2,mathd_algebra_137
lp,test24,3,5,mathd_algebra_246
lp,test24,3,5,mathd_algebra_44
lp,test24,3,7,mathd_algebra_388
lp,test24,3,8,mathd_numbertheory_222
dsp,test24,1,5,mathd_algebra_388
dsp,test24,1,10,mathd_algebra_137
dsp,test24,1,28,mathd_numbertheory_222
dsp,test24,1,49,mathd_algebra_44
dsp,test24,1,279,mathd_algebra_246
dsp,test24,2,5,mathd_algebra_388
dsp,test24,2,10,mathd_algebra_137
dsp,test24,2,28,mathd_numbertheory_222
dsp,test24,2,49,mathd_algebra_44
dsp,test24,2,279,mathd_algebra_246
dsp,test24,3,5,mathd_algebra_388
dsp,test24,3,10,mathd_algebra_137
dsp,test24,3,31,mathd_numbertheory_222
dsp,test24,3,279,mathd_algebra_246
