model,dataset,run,problem_attempt,successful_problem
dsp,test,1,1,aime1989_8
dsp,test,1,2,mathd_numbertheory_100
dsp,test,1,2,mathd_numbertheory_222
dsp,test,1,4,mathd_algebra_76
dsp,test,1,6,mathd_algebra_338
dsp,test,1,6,mathd_algebra_432
dsp,test,1,8,algebra_sqineq_unitcircatbpamblt1
dsp,test,1,11,mathd_algebra_388
dsp,test,1,11,mathd_algebra_427
dsp,test,1,13,mathd_algebra_143
dsp,test,1,15,mathd_algebra_359
dsp,test,1,19,mathd_numbertheory_185
dsp,test,1,21,mathd_numbertheory_247
dsp,test,1,28,mathd_algebra_160
dsp,test,1,31,mathd_algebra_478
dsp,test,1,42,mathd_algebra_139
dsp,test,1,43,mathd_algebra_114
dsp,test,1,45,mathd_algebra_354
dsp,test,1,46,mathd_algebra_412
dsp,test,1,60,amc12b_2002_2
dsp,test,1,61,mathd_algebra_263
dsp,test,1,68,algebra_2varlineareq_fp3zeq11_3tfm1m5zeqn68_feqn10_zeq7
dsp,test,1,75,mathd_algebra_176
dsp,test,1,81,mathd_algebra_329
dsp,test,1,85,algebra_sqineq_at2malt1
dsp,test,1,96,mathd_algebra_513
dsp,test,1,97,mathd_algebra_125
dsp,test,1,97,mathd_algebra_171
dsp,test,1,112,mathd_algebra_346
dsp,test,1,113,mathd_algebra_113
dsp,test,1,122,amc12a_2021_3
dsp,test,1,128,amc12b_2020_6
dsp,test,1,132,mathd_numbertheory_321
dsp,test,1,134,mathd_algebra_148
dsp,test,1,140,mathd_algebra_17
dsp,test,1,142,mathd_algebra_153
dsp,test,1,145,mathd_numbertheory_127
dsp,test,1,194,mathd_algebra_107
dsp,test,1,194,mathd_algebra_141
dsp,test,1,213,amc12a_2002_6
dsp,test,2,1,aime1989_8
dsp,test,2,2,mathd_numbertheory_100
dsp,test,2,2,mathd_numbertheory_222
dsp,test,2,4,mathd_algebra_76
dsp,test,2,6,mathd_algebra_338
dsp,test,2,6,mathd_algebra_432
dsp,test,2,8,algebra_sqineq_unitcircatbpamblt1
dsp,test,2,11,mathd_algebra_388
dsp,test,2,11,mathd_algebra_427
dsp,test,2,13,mathd_algebra_143
dsp,test,2,19,mathd_numbertheory_185
dsp,test,2,21,mathd_numbertheory_247
dsp,test,2,24,mathd_algebra_412
dsp,test,2,28,mathd_algebra_160
dsp,test,2,31,mathd_algebra_478
dsp,test,2,33,mathd_algebra_114
dsp,test,2,35,mathd_algebra_419
dsp,test,2,42,mathd_algebra_139
dsp,test,2,45,mathd_algebra_329
dsp,test,2,45,mathd_algebra_354
dsp,test,2,58,mathd_algebra_17
dsp,test,2,60,amc12b_2002_2
dsp,test,2,68,algebra_2varlineareq_fp3zeq11_3tfm1m5zeqn68_feqn10_zeq7
dsp,test,2,69,mathd_algebra_246
dsp,test,2,75,mathd_algebra_176
dsp,test,2,78,algebra_sqineq_at2malt1
dsp,test,2,91,mathd_algebra_125
dsp,test,2,97,mathd_algebra_171
dsp,test,2,106,amc12a_2002_6
dsp,test,2,112,mathd_algebra_346
dsp,test,2,114,mathd_algebra_513
dsp,test,2,126,mathd_algebra_359
dsp,test,2,128,amc12b_2020_6
dsp,test,2,132,mathd_numbertheory_321
dsp,test,2,135,mathd_algebra_263
dsp,test,2,142,mathd_algebra_113
dsp,test,2,142,mathd_algebra_153
dsp,test,2,145,mathd_numbertheory_127
dsp,test,2,158,mathd_algebra_141
dsp,test,2,172,mathd_algebra_148
dsp,test,2,177,aime1990_4
dsp,test,3,1,aime1989_8
dsp,test,3,2,mathd_numbertheory_100
dsp,test,3,2,mathd_numbertheory_222
dsp,test,3,4,mathd_algebra_76
dsp,test,3,6,mathd_algebra_432
dsp,test,3,8,algebra_sqineq_unitcircatbpamblt1
dsp,test,3,11,mathd_algebra_388
dsp,test,3,11,mathd_algebra_427
dsp,test,3,13,mathd_algebra_143
dsp,test,3,15,mathd_algebra_359
dsp,test,3,19,mathd_numbertheory_185
dsp,test,3,21,mathd_numbertheory_247
dsp,test,3,22,mathd_algebra_346
dsp,test,3,24,mathd_algebra_412
dsp,test,3,28,mathd_algebra_160
dsp,test,3,31,mathd_algebra_478
dsp,test,3,42,mathd_algebra_139
dsp,test,3,42,mathd_algebra_338
dsp,test,3,43,mathd_algebra_114
dsp,test,3,45,mathd_algebra_329
dsp,test,3,45,mathd_algebra_354
dsp,test,3,54,mathd_numbertheory_483
dsp,test,3,58,mathd_algebra_17
dsp,test,3,60,amc12b_2002_2
dsp,test,3,68,algebra_2varlineareq_fp3zeq11_3tfm1m5zeqn68_feqn10_zeq7
dsp,test,3,75,mathd_algebra_176
dsp,test,3,77,amc12a_2021_3
dsp,test,3,84,mathd_numbertheory_299
dsp,test,3,85,algebra_sqineq_at2malt1
dsp,test,3,87,mathd_numbertheory_582
dsp,test,3,97,mathd_algebra_125
dsp,test,3,97,mathd_algebra_171
dsp,test,3,113,mathd_algebra_113
dsp,test,3,114,mathd_algebra_513
dsp,test,3,128,amc12b_2020_6
dsp,test,3,132,mathd_numbertheory_321
dsp,test,3,134,mathd_algebra_148
dsp,test,3,145,mathd_numbertheory_127
dsp,test,3,158,mathd_algebra_141
dsp,test,3,167,mathd_algebra_263
dsp,test,3,170,mathd_algebra_33
dsp,test,3,213,amc12a_2002_6
