model,dataset,run,problem_attempt,successful_problem
lp,test,1,1,amc12b_2002_p2
lp,test,1,1,mathd_algebra_129
lp,test,1,1,mathd_algebra_148
lp,test,1,1,mathd_algebra_246
lp,test,1,1,mathd_algebra_329
lp,test,1,1,mathd_algebra_354
lp,test,1,1,mathd_algebra_412
lp,test,1,1,mathd_algebra_419
lp,test,1,1,mathd_algebra_432
lp,test,1,1,mathd_algebra_478
lp,test,1,2,mathd_algebra_137
lp,test,1,2,mathd_algebra_143
lp,test,1,2,mathd_algebra_160
lp,test,1,2,mathd_algebra_176
lp,test,1,2,mathd_algebra_302
lp,test,1,2,mathd_algebra_427
lp,test,1,2,mathd_algebra_440
lp,test,1,2,mathd_algebra_513
lp,test,1,3,amc12a_2021_p3
lp,test,1,3,mathd_algebra_24
lp,test,1,3,numbertheory_sqmod3in01d
lp,test,1,4,amc12b_2021_p3
lp,test,1,4,mathd_algebra_270
lp,test,1,5,mathd_algebra_114
lp,test,1,5,mathd_algebra_359
lp,test,1,5,mathd_algebra_76
lp,test,1,5,mathd_numbertheory_254
lp,test,1,6,mathd_algebra_113
lp,test,1,6,mathd_algebra_33
lp,test,1,6,mathd_algebra_346
lp,test,1,6,mathd_algebra_388
lp,test,1,7,amc12b_2020_p6
lp,test,1,7,mathd_algebra_125
lp,test,1,7,mathd_algebra_263
lp,test,1,7,mathd_algebra_398
lp,test,1,7,mathd_algebra_44
lp,test,1,7,mathd_numbertheory_66
lp,test,1,8,mathd_algebra_153
lp,test,1,8,mathd_numbertheory_100
lp,test,1,8,mathd_numbertheory_517
lp,test,1,8,numbertheory_aoddbdiv4asqpbsqmod8eq1
lp,test,1,9,algebra_2varlineareq_fp3zeq11_3tfm1m5zeqn68_feqn10_zeq7
lp,test,1,9,mathd_algebra_139
lp,test,1,9,mathd_algebra_400
lp,test,1,9,mathd_numbertheory_222
lp,test,1,10,mathd_algebra_171
lp,test,1,12,mathd_algebra_313
lp,test,1,13,mathd_numbertheory_321
lp,test,1,14,mathd_algebra_338
lp,test,1,14,mathd_numbertheory_233
lp,test,1,15,algebra_sqineq_unitcircatbpamblt1
lp,test,1,15,mathd_algebra_441
lp,test,1,15,mathd_numbertheory_185
lp,test,1,16,mathd_algebra_80
lp,test,1,16,mathd_numbertheory_345
lp,test,1,16,mathd_numbertheory_99
lp,test,1,20,algebra_apbpceq2_abpbcpcaeq1_aleq1on3anbleq1ancleq4on3
lp,test,1,20,mathd_algebra_196
lp,test,1,22,amc12a_2002_p6
lp,test,1,24,mathd_algebra_275
lp,test,1,24,mathd_algebra_304
lp,test,1,26,aime_1989_p8
lp,test,1,26,mathd_algebra_756
lp,test,1,27,induction_1pxpownlt1pnx
lp,test,1,27,mathd_algebra_107
lp,test,1,29,mathd_numbertheory_582
lp,test,1,31,mathd_algebra_141
lp,test,1,31,mathd_algebra_142
lp,test,1,32,mathd_algebra_188
lp,test,1,38,mathd_numbertheory_12
lp,test,1,44,aime_1983_p2
lp,test,1,44,aime_1990_p15
lp,test,1,44,algebra_absxm1pabsxpabsxp1eqxp2_0leqxleq1
lp,test,1,45,mathd_numbertheory_483
lp,test,1,46,mathd_algebra_314
lp,test,1,50,amc12b_2002_p19
lp,test,2,1,mathd_algebra_107
lp,test,2,1,mathd_algebra_148
