model,dataset,run,problem_attempt,successful_problem
dsp,test24,1,1,mathd_algebra_388
dsp,test24,1,1,mathd_algebra_44
dsp,test24,1,2,mathd_algebra_137
dsp,test24,1,3,mathd_algebra_246
dsp,test24,1,3,mathd_numbertheory_222
dsp,test24,1,12,mathd_algebra_400
dsp,test24,1,169,mathd_numbertheory_207
dsp,test24,2,1,mathd_algebra_44
dsp,test24,2,1,mathd_numbertheory_222
dsp,test24,2,3,mathd_algebra_246
dsp,test24,2,3,mathd_algebra_388
dsp,test24,2,74,mathd_algebra_137
dsp,test24,2,79,mathd_algebra_400
dsp,test24,2,93,mathd_numbertheory_207
dsp,test24,2,207,amc12b_2020_22
dsp,test24,3,1,mathd_algebra_388
dsp,test24,3,2,mathd_algebra_44
dsp,test24,3,2,mathd_numbertheory_222
dsp,test24,3,5,mathd_algebra_246
dsp,test24,3,31,mathd_algebra_137
dsp,test24,3,93,mathd_numbertheory_207
dsp,test24,3,95,mathd_algebra_400
dsp,test24,3,105,amc12b_2020_22
