model,dataset,run,problem_attempt,successful_problem
lp,test24,1,1,mathd_numbertheory_222
lp,test24,1,3,mathd_algebra_246
lp,test24,1,3,mathd_algebra_44
lp,test24,1,3,mathd_numbertheory_207
lp,test24,1,4,mathd_algebra_388
lp,test24,1,5,mathd_algebra_400
lp,test24,1,22,mathd_algebra_137
lp,test24,1,34,amc12a_2002_p13
lp,test24,2,1,mathd_algebra_44
lp,test24,2,1,mathd_numbertheory_222
lp,test24,2,2,mathd_algebra_388
lp,test24,2,7,mathd_algebra_246
lp,test24,2,19,mathd_algebra_137
lp,test24,2,25,mathd_algebra_400
lp,test24,2,43,mathd_numbertheory_207
lp,test24,3,1,mathd_algebra_388
lp,test24,3,1,mathd_algebra_44
lp,test24,3,3,mathd_algebra_246
lp,test24,3,3,mathd_numbertheory_222
lp,test24,3,12,mathd_numbertheory_207
lp,test24,3,20,mathd_algebra_400
lp,test24,3,28,mathd_algebra_137
